nome,sku,quantidade,total,porcentagem_das_vendas
"Jabuticaba - 500g",O3VFZC9R7I,136,6786.4,5.45
"Manga Palmer - 500g",71CPUFPEHH,87,2141.13,1.72
"Figo Roxo 1Kg Normal",4CBSUD0DSO,86,10423.4,8.37
"Morango Hidroponico 1Kg Normal",JK3Q26040W,69,6898.3,5.54
"Figo Roxo - 500g",OHQJZKB82F,65,3249.35,2.61
"Figo Roxo 500g Normal",LV6Q8G2RR9,62,3727.7,2.99
"Jabuticabas 1kg Normal",52UXX0OPHM,60,5998.8,4.82
"Manga Palmer 500g Normal",SLEO7NSCF4,46,1195.36,0.96
"Banana prata - 6UN",D9J6SXC1GG,45,719.55,0.58
"Morango Hidroponico 500g Normal",CG983SP8RN,45,2249.47,1.81
"Batata lavada  - 500 gramas",QA33NBIXUG,44,571.56,0.46
"Tomate italiano  - 500 gramas",MV21PTEYU7,39,584.61,0.47
"Goiaba graúda - 1UN",LH315M40O0,36,467.64,0.38
"Mamão papaya - 2UN",74ZS19ED81,35,845.99,0.68
"Maçã fuji 4 un Normal",RFXSDJ620Q,33,921.9,0.74
"Atemoia 500g Normal",L5IEYCYQL5,29,1154.2,0.93
"Pera - 3UN",AJK45E4NMO,28,587.72,0.47
"Tomate italiano 1 Kg",ROQECB2WNT,27,809.46,0.65
"Abacaxi perola- 1UN",7EFUSGVKFC,27,537.3,0.43
"Limão taiti - 6UN",HYZYYVYGSZ,25,249.75,0.2
"Mamão papaya 2 un Normal",DVMZCCS2DN,25,743.66,0.6
"Brócolis comum - 1 Unidade",B41H2I6TGF,24,527.76,0.42
"Morango Hidroponico 300g Normal",IORT9P1751,24,719.74,0.58
"Azeitona chilena temperada com azeite e chimichurri - 300g",TKHZG8BD4A,24,594,0.48
"Laranja pera - 6UN",QL28UGDU0J,24,335.76,0.27
"Jabuticabas 500g Normal",FXFZ1CRGCK,23,1149.77,0.92
"Alface americana - 1 Unidade",1J8QAL3JEH,23,229.77,0.18
"Maçã fuji - 4UN",558O9QRAYN,23,597.77,0.48
"Pepino Japones - 500g",BIQYUBVXM8,22,285.78,0.23
"Morango  -500g",52JX7FO9LN,22,1099.78,0.88
"Cereja - 500g",LB6JYQTC81,21,2128.32,1.71
"Cenoura  - 500 gramas (cópia)",76PZYT3IKI,21,272.79,0.22
"Melão Orange 1 un Normal",7AF1DJPLM2,21,627.9,0.5
"Pêssego Fresco Premium 500g Normal",CGBA9937RA,21,943.95,0.76
"Figo Roxo 300g Normal",C1GHDMDOTI,21,762.89,0.61
"Batata lavada 1 Kg",KVSU997TFQ,21,545.58,0.44
"Banana Prata 12UN Normal",TKSZ9PIJC5,20,639.44,0.51
"Amendoim Torrado sem Pele e sem Sal 1 Kg",WU3ZJIA38O,20,1344,1.08
"Uva Thompson 500 g Normal",AYLT91YM9L,20,513.71,0.41
"Banana nanica - 6UN",M1WOW7TXJU,19,303.81,0.24
"Mandioca Descascada 1 Kg",LQD6P87MEO,19,265.81,0.21
"Couve flor - 1 Unidade",LCPZ984FC5,19,417.81,0.34
"Mini Tangerina - 500g",CDXEEOZ1UV,19,759.81,0.61
"Abóbora cristalizada   300g",NDT37IXPDY,19,513,0.41
"Figo cristalizado   300g",FW4QLSQ8RP,18,486,0.39
"Pera 3 un Normal",6JRK04WL3P,18,376.2,0.3
"Atemoia  - 1Kg",J7JZ4AOQBS,17,1189.83,0.96
"Pêssego Fresco Premium 1kg Normal",CNFKH54BP1,17,1528.3,1.23
"Uva Thompson - 1 Bandeja (500g)",53KG4LZE67,17,417.83,0.34
"Cebola - 500 gramas",L8SWAFYZXZ,16,175.84,0.14
"Mandioca Descascada 500 g",TTXLPXFY8K,16,112,0.09
"Cereja Fresca 1kg Normal",M9NNATJ0CP,16,3350,2.69
"Maracujá doce importado granadilla 500g Normal",TECCIQZPWX,16,1039.2,0.83
"Banana nanica 6 un Normal",A8AZCMBZW2,16,254.4,0.2
"Abacaxi perola 1 un Normal",LLY8DJFWZB,16,318.4,0.26
"Alface crespa - 1UN",H112UU9K6U,15,99.92,0.08
"Couve flor 1 un",RU5M83EHYI,15,329.85,0.26
"Brócolis ninja - 1 Unidade",55W7VODMQR,15,329.85,0.26
"Tomate italiano 500 g",LXLLGESBX8,15,224.85,0.18
"Banana Prata 6UN Normal",NKXR0COPPO,15,239.85,0.19
"Manga Palmer 1Kg Normal",3LZGHWS0U0,15,777.62,0.62
"Cebola roxa - 500 gramas",4MX1SZ726S,15,187.5,0.15
"Beringela - 500g",H0O935HVFS,15,149.85,0.12
"Kiwi Amarelo 500g Normal",D0LEJ5JWN3,15,974.85,0.78
"Tamara Fresca - 100g",K5Y4DHBB70,14,124.6,0.1
"Laranja baia importada 6 un Normal",N70GKMAY1K,14,727.72,0.58
"Batata doce - 500g",L7FHB7AB0D,14,105,0.08
"Mandioca Descascada - 1 Pacote (1Kg)",2PU2FGD0DX,13,181.87,0.15
"Limão siciliano 300g Normal",227MCIV8AE,13,124.67,0.1
"Physalis -1bj",4I98Y9GZT1,13,258.7,0.21
"Pitaia amarelo Colômbia - 500g",JCRR8929EY,13,974.87,0.78
"Jabuticabas 500g Maduro",9UFTTKGX35,13,649.87,0.52
"Morango hidropônico - 500g",94PN1D7D01,13,649.87,0.52
"Laranja baia importada - 3UN",E3XQHM9ONL,13,337.87,0.27
"Melão Rei 1 un Normal",IJVSHLNXNG,13,778.7,0.63
"Alcachofra 4 un",17KDFU8IE0,13,1439.87,1.16
"Beterraba 500 g",3X1ZUD76EA,12,95.88,0.08
"Jabuticabas 300g Normal",80TR4E6S18,12,359.88,0.29
"Milho verde - 1 Bandeja (4 UN)",L9I0AXREKT,12,191.88,0.15
"Milho verde 4 un",6KL64ZKY1F,12,191.88,0.15
"Cereja Fresca 300g Normal",IHPNOYX1CH,12,772,0.62
"Kiwi Amarelo 1kg Normal",BHU3AE9XA0,12,1559.88,1.25
"Mini Tangerina 500g Normal",AZ84H3UUWG,12,479.88,0.39
"Achachairu 500g",7WJN0FTWX8,12,899.88,0.72
"Azeitona Grega Kalamata 300 g",3AE95CDMW3,12,691.2,0.56
"Mamão papaya 4 un Normal",FLN2GSQ3BW,12,685.71,0.55
"Beterraba - 500g",5YVB441763,12,95.88,0.08
"Cebola 1 Kg",1FF8UERNQL,12,263.76,0.21
"Bacalhau do porto calibre 7/9 Sem pele e espinha   500g",QO58XYO5D7,12,1125,0.9
"Coco Verde - 1 UN",JJZKHP91Y3,12,179.88,0.14
"Kiwi Amarelo 300g Normal",S709Q7URRM,11,439.89,0.35
"Figo Roxo 1Kg Verde",LF82KKBGG5,11,1369.06,1.1
"Ameixa polpa vermelha - 500g",994RV37ZXH,11,395.89,0.32
"Figo Roxo 1Kg Maduro",J4Y9RM8FMO,11,1249.38,1
"Melão Rei - 1UN",A8R8MW4JG1,11,641.89,0.52
"Morango Hidroponico 1Kg Maduro",CSYI8DHSEA,11,1099.78,0.88
"Limão taiti 6 un Normal",GD9BM9T3WE,11,108.9,0.09
"Laranja baia importada 12 un Normal",3GDPGJJ8GO,11,1143.56,0.92
"Vagem 500 g",I1ZD68QP7B,11,156.89,0.13
"Nêspera 300g Normal",HVBV6JDPYC,11,326.7,0.26
"Melão Rei - 1UN",A8R8MW4JG1,11,641.89,0.52
"Figo Roxo 1Kg Verde",LF82KKBGG5,11,1369.06,1.1
"Laranja baia importada 3 un Normal",T4SJC9ROG6,10,259.9,0.21
"Couve manteiga - 1 Unidade",6CDIZYBBCI,10,93.98,0.08
"Pêssego Nacional - 500g",RXQOBRBVD1,10,379.18,0.3
"Batata doce 1 Kg",JU72MHVGNC,10,150,0.12
"Castanha de Caju SLW1 Torrada com Sal 300 g",3GQHBLNF4M,10,576,0.46
"Jabuticabas 1kg Maduro",BU0V53MBLI,10,999.8,0.8
"Maçã Red graúda 3 un Normal",1CUS9R0BTY,10,259.9,0.21
"Maracujá doce importado granadilla - 500g",JB2HT2PSJX,10,649.5,0.52
"Batata lavada 500 g",8J5NI32N9P,10,129.9,0.1
"Kiwi amarelo (Golden) - 500g",ST5WWDME3C,10,644.09,0.52
"Cebola 500 g",AJUICOO9SI,9,98.91,0.08
"Cebola roxa 500 g",BVBHXBZJVL,9,112.5,0.09
"Caju - 500gr",M8OM63RWV1,9,404.91,0.33
"Limão taiti 12 un Normal",3EFDC7OPNZ,9,179.1,0.14
"Figo cristalizado 300 g",KAU7XK5AH7,9,259.2,0.21
"Alface lisa - 1 Unidade",H5A5WVOFDB,9,71.91,0.06
"Cebola roxa 300 g",MHL396DDT6,9,67.5,0.05
"Beringela 500 g",23YV42Y1K9,9,89.91,0.07
"Mix de castanha luxo (castanha do pará, nozes, amêndoa, uva passa preta e castanha de caju)   300g",FEWJ8YU34I,9,384.75,0.31
"Alho roxo - 500 gramas",AXD9AW2KAD,9,303.75,0.24
"Morango hidropônico",QX72E4HYMN,9,269.91,0.22
"Morango Hidroponico 500g Maduro",A1YT3GGQEA,8,399.92,0.32
"Brócolis comum 1 un",MGGKZ9S7X4,8,175.92,0.14
"Maracujá doce importado granadilla 1kg Normal",QU4B1LQ6S7,8,959.28,0.77
"Pitaia amarelo Colômbia 300g Normal",GQ1ILPB8PQ,8,359.92,0.29
"Azeitona Verde com Alho 300 g",B5UO96MRCF,8,376.32,0.3
"Uva Vitória  - 1 Bandeja (500g)",RNC1RG9UYA,8,189.92,0.15
"Uva Pilar moscato  - 1Kg",8KHTUMM7SE,8,1079.74,0.87
"Roma Importada - 500g",OZPJOC3GMX,8,359.6,0.29
"Uva Thompson 1 Kg Normal",R5W7TRE6YN,8,415.84,0.33
"Castanha de caju SL W1 torrada e salgada   300g",BM8AJJ2P01,8,396,0.32
"Tiras de laranja cristalizada   300g",QYXGFI92O8,8,216,0.17
"Mamão Formosa 1 un Normal",8HXTGQ67L4,7,174.93,0.14
"Atemoia 500g Maduro",CBKL2I3F1G,7,284.8,0.23
"Alho roxo 300 g",BI1OU7UKC1,7,141.75,0.11
"Azeitona grega kalamata   300g",BUZ9F49DB8,7,283.5,0.23
"Azeitona italiana   300g",2GF3MXAPBH,7,141.75,0.11
"Figo cristalizado 500 g",F5AQ81R1IJ,7,336,0.27
"Manga Palmer 500g Maduro",AQY18XYBY4,7,181.93,0.15
"Maracujá azedo graúdo - 3UN",24LXA1B1AE,7,181.93,0.15
"Abacaxi perola 2 un Normal",EW6HZ9KOGF,7,279.3,0.22
"Limão siciliano - 500gr",K9W57NW4RS,7,111.93,0.09
"Vagem  - 500 gramas",ENCIV7S553,7,104.93,0.08
"Atemoia 300g Normal",CNR7PVJGSV,7,147,0.12
"Cenoura 300 g",6Z71EEO90F,7,54.53,0.04
"Jabuticaba 500g Normal",IYK7B8LV9P,7,349.3,0.28
"Alface americana 1 un",2ZFL1QJDWU,7,69.93,0.06
"Abobrinha 500 g",92WWRRD3X1,7,69.93,0.06
"Mix de frutas desidratadas 300 g",RDP04ASMEW,7,285.6,0.23
"Cenoura 500 g",NQDQZY45HL,7,90.93,0.07
"Pimentão Verde  - 500 gramas",JHUGIWK0OJ,7,104.93,0.08
"Uva Vitória 300g Normal",AOPAX38CV6,6,107.94,0.09
"Banana nanica 12 un Normal",OWDDC8ZHDL,6,191.4,0.15
"Amendoim torrado com pele e com sal   300g",JWUXBO6TE2,6,81,0.07
"Couve manteiga 1 un",D6Q3FUN7LV,6,60,0.05
"Pêssego Fresco Premium 300g Normal",24UJ6PQB8L,6,179.76,0.14
"Ameixa sem caroço   300g",F367T3MRKO,6,132.3,0.11
"Maracujá silvestre - 1 Bandeja (500g)",7IJ2EI6HWZ,6,372.49,0.3
"Abobrinha 300 g",D846VOHRDX,6,35.94,0.03
"Abacaxi cristalizado   300g",JOWJSLHA8V,6,162,0.13
"Bandeja de Lichia 500g Normal",OXUV2C1I1C,6,149.94,0.12
"Escarola - 1 Unidade",MOZTXEK2KS,6,48,0.04
"Pimentão Vermelho  - 500 gramas",77DT13O8BR,6,107.94,0.09
"Manga Palmer 1Kg Verde",9UOZLE4DK7,6,309.8,0.25
"Cereja Fresca 500g Normal",SFYRVXOF7N,6,650,0.52
"Mamão papaya 2 un Maduro",G6M3H8I6R5,6,173.95,0.14
"Nectarina Branca - 500g",8XLI5MEBP7,6,269.7,0.22
"Maçã Red graúda - 3UN",68I30PFBTK,6,155.94,0.13
"Tiras de limão cristalizado 300 g",5O69QDDYUG,6,172.8,0.14
"Manga Palmer 300g Normal",F2UZACF69U,5,77.95,0.06
"Damasco turco jumbo   300g",KZRT837QDV,5,236.25,0.19
"Nêspera 500g Normal",IW1EN3EYOZ,5,247.5,0.2
"Brócolis comum 2 un",G111R0OWGX,5,219.9,0.18
"Limão siciliano 500g Normal",PC9ND3YMQN,5,79.95,0.06
"Banana Prata 6UN Verde",6S1KSFRL6P,5,79.95,0.06
"Uva Vitória 500g Maduro",3J20BX7LZI,5,149.95,0.12
"Tiras de laranja cristalizada 300 g",FFY0JTUCBP,5,144,0.12
"Azeitona portuguesa   300g",2SVENLXYE7,5,130.5,0.1
"Beterraba 1 Kg",N73YJVWX7E,5,79.9,0.06
"Castanha-do-Pará Extra Large 300 g",8AV5VROPCI,5,477.6,0.38
"Banana Prata 12UN Verde",11WD8W2YIK,5,159.82,0.13
"Castanha de caju W1 torrada e salgada   300g",NWAO55F5ZB,5,202.5,0.16
"Maçã fuji 8 un Normal",5FJYV4R21O,5,280,0.22
"Cenoura 1 Kg",5G56RMI0PC,5,129.9,0.1
"Mamão Formosa - 1 Un",OGQLF73RQE,5,124.95,0.1
"Pimentão Verde 500 g",DRLUUWHAK0,5,74.95,0.06
"Castanha de caju doce com gergelim   300g",98VXA9RP4U,5,135,0.11
"Brócolis ninja 2 un",IBFF1DNZEO,5,219.9,0.18
"Tamara 300g Normal",CJ1AC83CED,5,104.85,0.08
"Ameixa sem caroço 300 g",M3FOYY5UK8,5,124.8,0.1
"Bananinha cristalizada 300 g",J29FGDP5WL,5,144,0.12
"Melão Orange 1 un Maduro",I20BXW89C5,5,149.5,0.12
"Alface Roxa 1 un",SHTM1I65T4,5,39.95,0.03
"Vagem 300 g",RZ3HJ1YNNU,5,44.95,0.04
"Maracujá doce importado granadilla 500g Maduro",PT6776T30M,5,324.75,0.26
"Cebola 300 g",H5D6J6VWZ5,5,32.95,0.03
"Repolho 1 un",T18L7HZW87,5,74.95,0.06
"Bandeja de Lichia 300g Normal",TO6DLJBDAD,5,249.95,0.2
"Banana Prata 6UN Verde",6S1KSFRL6P,5,79.95,0.06
"Cebola 300 g",H5D6J6VWZ5,5,32.95,0.03
"Castanha de caju doce com gergelim   300g",98VXA9RP4U,5,135,0.11
"Castanha de caju W1 torrada e salgada   300g",NWAO55F5ZB,5,202.5,0.16
"Damasco turco jumbo   300g",KZRT837QDV,5,236.25,0.19
"Maçã fuji 8 un Normal",5FJYV4R21O,5,280,0.22
"Bananinha cristalizada   300g",Q3ASKGZFFS,5,135,0.11
"Azeitona portuguesa 300 g",4A1B6I2B7Y,4,130.56,0.1
"Figo turco 300 g",4XYAGGKBQ8,4,188.16,0.15
"Nêspera 1Kg Normal",ES9O1GGASA,4,396,0.32
"Melão Orange - 1UN",1TDAW405SO,4,119.6,0.1
"Pimentão Vermelho 500 g",DWRCKPMT87,4,71.96,0.06
"Batata lavada 300 g",FII8R7QVX6,4,31.16,0.03
"Nozes chilena inteira   300g",CRVZTHHMVX,4,158.4,0.13
"Batata asterix  - 500 gramas",Q507ASMK0Q,4,51.96,0.04
"Cereja 500g Normal",O56AS262MI,4,300,0.24
"Azeitona Italiana 300 g",63XKRDSEP5,4,115.2,0.09
"Pêssego Importado Graudo - 500g",48FVQNY1U6,4,179.8,0.14
"Repolho roxo - 1 Unidade",B2LUT5HTTU,4,59.96,0.05
"Amendoim torrado e salgado   300g",6XCA1LV7ME,4,54,0.04
"Azeitona chilena 300 g",9K4KDFD7YM,4,149.76,0.12
"Maçã verde 3 un Normal",TI6VKVNJ3Z,4,87.96,0.07
"Pêra Asiática 300g Normal",588QEICVHR,4,107.88,0.09
"Laranja baia importada 6 un Maduro",3RRCRQCVHF,4,207.92,0.17
"Amendoim Crocante Cebola e Salsa 300 g",1MSBA2UFAB,4,80.64,0.06
"Azeitona verde com alho   300g",O6WXTVFGEK,4,140.4,0.11
"Toranja ( grapefruit ) - 500g",MZEYUZ5TVM,4,139.8,0.11
"Nozes com casca 300 g",71P09UJPFY,4,92.16,0.07
"Repolho roxo 1 un",OB8B9UKZNE,4,59.96,0.05
"Castanha de Caju W4 Torrada Salgada 300 g",JP05GJSYXD,4,163.2,0.13
"Fruta do conde (pinha) - 1KG",9O9540LQLY,4,279.6,0.22
"Tomate italiano 300 g",NQC2NFE2FB,4,35.96,0.03
"Laranja pera 6 un Normal",TH0942YKG1,4,55.96,0.04
"Couve flor 2 un",HR5I6V9MG4,4,175.92,0.14
"Bandeja de Lichia 1Kg Normal",97XNFLO4RD,4,399.96,0.32
"Tamara 500g Normal",12YPQCKG36,4,139.8,0.11
"Alface crespa 1 un",39ZOXII7SW,4,31.96,0.03
"Brócolis ninja 1 un",PMG0QYJ5P1,4,87.96,0.07
"Physalis 1 bandeja Normal",KK2SHK4S4H,4,79.6,0.06
"Pimentão Amarelo 500 g",7FC0VIE9CS,4,71.96,0.06
"Melão Orange 2 un Normal",IBA0P1X98U,4,239.2,0.19
"Maçã Red graúda 6 un Normal",TOBTTB0U2S,4,207.92,0.17
"Beterraba 300 g",DC2RVAKZP9,3,14.37,0.01
